,Date,Ticker,Close,High,Low,Open,Volume
0,2015-01-01,AAPL,23.864946365356445,24.682224419669154,23.17391436343584,24.671149522701132,893572400.0
1,2015-01-08,AAPL,24.318992614746094,25.08311327024051,24.031062161775676,24.192746549322003,1115053200.0
2,2015-01-15,AAPL,24.26361846923828,24.59805872103091,23.300159906989823,24.363285780605782,948012400.0
3,2015-01-22,AAPL,25.53936767578125,26.161740038857733,24.14844580236415,24.420872379766596,1591688000.0
4,2015-01-29,AAPL,26.480682373046875,26.69109363088426,25.594744503733377,25.76307317204481,1411945600.0
5,2015-02-05,AAPL,27.65896987915039,27.667829457481933,26.23039624657722,26.58255561384909,1041651600.0
6,2015-02-12,AAPL,28.621984481811523,28.657562653738943,27.921554914251143,28.03051009697279,947163200.0
7,2015-02-19,AAPL,28.637548446655273,29.70709563407379,28.473005335453422,28.568617857592738,1204898800.0
8,2015-02-26,AAPL,28.581968307495117,29.10006416847254,28.152817907820804,28.63755794846365,1083526400.0
9,2015-03-05,AAPL,27.181110382080078,28.81100075943596,27.152204379492783,28.590864559674674,1422733200.0
10,2015-03-12,AAPL,28.5664005279541,28.71982845602437,27.045467305523534,27.196671173291943,1009433200.0
11,2015-03-19,AAPL,27.434598922729492,28.73984429971735,27.434598922729492,28.628665018093688,946847200.0
12,2015-03-26,AAPL,27.628055572509766,28.126138352892283,27.26116354955839,27.296741739245014,867723200.0
13,2015-04-02,AAPL,27.928234100341797,28.488576911127222,27.614709420719073,27.801489792160503,567022400.0
14,2015-04-09,AAPL,28.190616607666016,28.58864031093315,27.71921756890442,27.983823088967036,654128400.0
15,2015-04-16,AAPL,28.599750518798828,28.655340146392774,27.67473999779517,28.07943241882067,789879600.0
16,2015-04-23,AAPL,28.604202270507812,29.91611629111205,28.49302300120501,28.528601181683193,1478244400.0
17,2015-04-30,AAPL,27.797042846679688,29.03335753988198,27.430150899410055,28.604203773504,1256434800.0
18,2015-05-07,AAPL,28.01939582824707,28.37739315877953,27.576901179662997,27.74367005923548,897525200.0
19,2015-05-14,AAPL,29.04075050354004,29.246174444717788,28.393218589112237,28.449040423359268,861530000.0
20,2015-05-21,AAPL,29.48285484313965,29.690513812634492,28.830856308342014,29.04298197801254,807428800.0
21,2015-05-28,AAPL,29.05414581298828,29.462762029040345,28.87551867759228,29.442666987372426,713526800.0
22,2015-06-04,AAPL,28.77727699279785,29.156864835853565,28.04935969828254,28.933577468515516,887657600.0
23,2015-06-11,AAPL,28.424484252929688,29.067549592711114,28.06945643166705,28.84426221194512,722712800.0
24,2015-06-18,AAPL,28.6053466796875,28.982702900869484,28.223525460420905,28.408854396561555,838852800.0
25,2015-06-25,AAPL,28.268178939819336,28.848725724934315,27.79481083518662,28.772808841567688,799103200.0
26,2015-07-02,AAPL,27.368335723876953,28.288280397390025,27.361637374646737,28.230225198148794,651919200.0
27,2015-07-09,AAPL,28.31730079650879,28.390986028616197,26.62031732889664,27.654137114636608,987229200.0
28,2015-07-16,AAPL,27.960044860839844,29.69052198557319,27.238825903164294,28.522728286030972,1333977200.0
29,2015-07-23,AAPL,27.462116241455078,28.377594220492185,27.267857298023227,28.17886857517246,832988400.0
30,2015-07-30,AAPL,25.76736068725586,27.383960634084072,25.03051174636031,27.312508749791863,1479762000.0
