Date,Close,High,Low,Open,Volume,SMA_5,EMA_5,Volatility_5,SMA_10,EMA_10,Volatility_10,SMA_20,EMA_20,Volatility_20,SMA_50,EMA_50,Volatility_50,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_lower,BB_width,ATR_14,OBV,log_return,return_1d,return_5d,high_low_ratio,close_open_ratio,sin_year,cos_year,day_of_week,sin_week,cos_week,sin_month,cos_month,sin_quarter,cos_quarter,Close_nxt
2016-03-16,24.00013542175293,24.077137951320523,23.68759127068511,23.692121847664875,153214000,23.39543228149414,23.515203467430936,0.008026665405771932,23.214928436279298,23.20425570306508,0.01005610704095844,22.609998989105225,22.805443192809914,0.013898541589164438,22.172280349731444,22.41615604558726,0.02057465841841126,83.83552302642977,0.44022634904234437,0.32000683991401685,0.12021950912832752,24.08200965238409,21.13798832582636,0.13020882168001544,0.41316500208653195,894898000.0,0.013203708045389189,0.013291261919354813,0.04796283262329437,1.016445179089083,1.013000674910779,0.9601498736716018,0.2794856348516095,0.3333333333333333,0.9350162426854148,0.35460488704253557,0.8660254037844386,0.5000000000000001,0.0,1.0,23.96163558959961
2016-03-17,23.96163558959961,24.113377097226152,23.771391086978394,23.898219603453242,137682800,23.605155563354494,23.66401417492422,0.008642461513696426,23.312314796447755,23.341965184180804,0.010228294011641988,22.71803035736084,22.91616491286158,0.012899220291694734,22.188787727355958,22.485412968837345,0.020246309529680206,82.61209131043262,0.4742350643267095,0.3508527665551322,0.12338229777157728,24.255726037871952,21.180334676849725,0.13537227095155163,0.414297530257071,757215200.0,-0.00160543864877034,-0.0016041506215179746,0.045765091062439645,1.0143864534051226,1.0026535862168244,0.9648061359537645,0.2629622026565149,0.5,0.9350162426854148,0.35460488704253557,0.8660254037844386,0.5000000000000001,0.0,1.0,23.988805770874023
2016-03-18,23.988805770874023,24.12016482971511,23.823476031219283,24.08392713296923,176820800,23.770937728881837,23.77227804029113,0.009209828806285987,23.37821979522705,23.45957539162058,0.009534793947823918,22.82991142272949,23.018831392626495,0.01282259981513638,22.214893913269044,22.55240890761953,0.02002960728076672,84.10945380779667,0.4975887528904792,0.380200178278653,0.11738857461182622,24.396748312853397,21.263074532605586,0.13726175814803737,0.40992962085033086,934036000.0,0.0011332610675261587,0.0011339034504893597,0.03579078530659574,1.0124536317918944,0.9960504214462187,0.9691780654392536,0.2463612742933148,0.6666666666666666,0.9350162426854148,0.35460488704253557,0.8660254037844386,0.5000000000000001,0.0,1.0,23.98654556274414
2016-03-21,23.98654556274414,24.38062106642876,23.81215464662429,23.991074411516013,142010800,23.924489974975586,23.843700547797596,0.00960255077019169,23.469717979431152,23.555390035054614,0.008310534404207676,22.93216714859009,23.111410909574914,0.012838491702359983,22.26010181427002,22.61597863577059,0.019022243350879594,77.73220580319158,0.5100201790930079,0.4061643302281263,0.10385584886488158,24.521634138029583,21.342700159150596,0.13862335636579529,0.3845317127943374,792025200.0,-9.422372400512309e-05,-9.421928508945854e-05,0.03306638364358805,1.0238729517862029,0.9998112277635345,0.9805753940631429,0.19614254142819698,0.0,0.970941817426052,0.23931566428755804,0.8660254037844386,0.5000000000000001,0.0,1.0,24.169994354248047
2016-03-22,24.169994354248047,24.299088144055386,23.828008384512952,23.83706781003208,129777600,24.02142333984375,23.952465149970212,0.006244816067247827,23.598584747314455,23.667138073697057,0.007164568646003679,23.068394947052003,23.212640186788228,0.011141524811487476,22.30668109893799,22.684511903472302,0.019033090245439716,79.00893247364209,0.5283699881151378,0.4306055761124754,0.0977644120026624,24.586781815311873,21.550008078792132,0.13164217725116684,0.39795879483829133,921802800.0,0.007618889530445147,0.007647987119447475,0.020462745289413276,1.0197700014176851,1.0139667574413598,0.9837979515735163,0.17928075881073577,0.16666666666666666,0.970941817426052,0.23931566428755804,0.8660254037844386,0.5000000000000001,0.0,1.0,24.03636932373047
2016-03-23,24.03636932373047,24.249261497777155,23.98427978832034,24.1156388628559,102814000,24.02867012023926,23.980433207894144,0.0048073096122254735,23.7120512008667,23.73427191241017,0.007877248743719372,23.181974506378175,23.291380393674153,0.011224593435027413,22.34351463317871,22.743840015480707,0.018955084876712037,72.85296819597036,0.5261840039968426,0.44972133320988716,0.07646267078695546,24.627888533024894,21.736060479731456,0.12474468266272117,0.39650277914365034,818988800.0,-0.005543889336017806,-0.005528550340521354,0.0015097373969272798,1.011048141190625,0.9967129405289143,0.9867305793119814,0.162366141330764,0.3333333333333333,0.970941817426052,0.23931566428755804,0.8660254037844386,0.5000000000000001,0.0,1.0,23.932188034057617
2016-03-24,23.932188034057617,24.063547105898483,23.755533564710287,23.886892636551153,104532000,24.02278060913086,23.964351483280495,0.005216830751903969,23.813968086242674,23.77025704956074,0.008311622945867311,23.282871150970458,23.352613604619194,0.011406345328720136,22.371822242736815,22.79574983948427,0.01888381669697461,64.64757484524532,0.5102493832824493,0.46182697945847945,0.04842240382396984,24.634889160207933,21.93085314173298,0.11613842643982696,0.38000210746311197,714456800.0,-0.004343739283383506,-0.004334318892745381,-0.0012289459720676854,1.0129659702380147,1.0018962448651507,0.989372413019683,0.14540367380368976,0.5,0.970941817426052,0.23931566428755804,0.8660254037844386,0.5000000000000001,0.0,1.0,23.823474884033203
2016-03-28,23.823474884033203,24.04995529406365,23.79403132486787,24.006923463227174,77645600,23.989714431762696,23.917392616861857,0.005456590182161005,23.880326080322266,23.779933104772507,0.008415490431838908,23.37663402557373,23.39759305615522,0.011568769386739442,22.409533767700196,22.840443644061747,0.018497057858355485,69.71507959687455,0.48336268530658444,0.4661341309416792,0.017228554364905224,24.592138903902132,22.161129147245326,0.10399314777299903,0.36511881253341855,636811200.0,-0.004552898281515112,-0.004542549551662667,-0.006892001561893402,1.0107558053404893,0.9923585135981722,0.9970175264485267,0.07717546212664653,0.0,0.992708874098054,0.120536680255323,0.8660254037844386,0.5000000000000001,0.0,1.0,24.387420654296875
2016-03-29,24.387420654296875,24.41233364788222,23.75327455415751,23.75553984300412,124760400,24.06988945007324,24.07406862934659,0.012565972946379608,23.997189712524413,23.890386183245745,0.01067577654750025,23.50108528137207,23.492120030690064,0.012243314513874901,22.44892833709717,22.907432523668945,0.018538616746697344,83.01891999708963,0.5013247835014845,0.47317227493604563,0.028152508565438827,24.581498048608168,22.420672514135973,0.09194577648654187,0.38841452273216376,761571600.0,0.023396018174741105,0.023671851944723432,0.016712497866944842,1.0277460310670874,1.0265993033822316,0.998195433059714,0.0600489585149486,0.16666666666666666,0.992708874098054,0.120536680255323,0.8660254037844386,0.5000000000000001,0.0,1.0,24.813199996948242
2016-03-30,24.813199996948242,25.007973341395775,24.595778950848203,24.607103665628895,182404400,24.19853057861328,24.320445751887174,0.014073990329143507,24.109976959228515,24.058171503256567,0.0102866297753784,23.603341388702393,23.61824824929134,0.00971772555967466,22.50760585784912,22.989622195705827,0.018283569182130213,85.58184320291763,0.5433279010981913,0.4872034216711445,0.05612447942704679,24.77492194093816,22.431760836466626,0.09927243206307539,0.41154753050793047,943976000.0,0.0173083171092969,0.01745897398035612,0.026611741536759936,1.016758745123352,1.0083754810854568,0.9990791668951153,0.042904758199554374,0.3333333333333333,0.992708874098054,0.120536680255323,0.8660254037844386,0.5000000000000001,0.0,1.0,24.684104919433594
2016-03-31,24.684104919433594,24.890202967996302,24.659191930532415,24.849436415967897,103553600,24.328077697753905,24.441665474404846,0.0140116641342478,24.178373908996583,24.171978128474628,0.010234766515566616,23.69665117263794,23.719985432675518,0.009942382985417879,22.565818824768066,23.062415128280662,0.018286697810194652,81.58327420703299,0.5598214466704654,0.5017270444769185,0.05809440219354689,24.901629140465136,22.49167320481074,0.10170027478132117,0.3942380935042054,840422400.0,-0.0052162585598846435,-0.0052026775075575404,0.026948146243685578,1.0093681511589945,0.9933466701712372,0.999668467514313,0.025747913654988658,0.5,0.992708874098054,0.120536680255323,0.8660254037844386,0.5000000000000001,0.0,1.0,24.910585403442383
2016-04-01,24.910585403442383,24.912850691865195,24.50518517119843,24.636544253180922,103496000,24.52375717163086,24.59797211741925,0.01292307504674906,24.27326889038086,24.306270890855753,0.010279827780869995,23.792791843414307,23.83360529966341,0.00998153491757229,22.627975730895997,23.141514216236303,0.01830857226514396,81.44832813001088,0.5842791800646552,0.5182374877878615,0.06604169227679368,25.06460220544875,22.520981481379863,0.10690719865113035,0.40539958695383965,943918400.0,0.009133318784813963,0.009175154811081887,0.040882069286453104,1.016635888193406,1.0111233599747285,0.9999631612477099,0.008583481082087055,0.6666666666666666,0.992708874098054,0.120536680255323,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,25.16651725769043
